,name,artist,album,track_number,Artist,storeId
550,"Il est cinq heures, Paris s'éveille",['Jacques Dutronc'],En Vogue,10.0,['Jacques Dutronc'],Tltfgher5l6l5plyl37zzy2dyxi
551,The Seed (2.0),"['The Roots', ' Cody Chesnutt']",Phrenology,8.0,"['The Roots', ' Cody Chesnutt']",Tfic3cc72qhk43v3snj7s7aol4u
552,Sunshine,['Atmosphere'],Sad Clown Bad Summer Number 9,1.0,['Atmosphere'],Tkvfgz65jzka2azi7yr3qx4huvm
553,Positive Balance (feat. Big Zoo),"['Immortal Technique', ' Big Zoo']",Revolutionary Vol. 1,3.0,"['Immortal Technique', ' Big Zoo']",
554,Greenlight: Now Begin,['Blackalicious'],Blazing Arrow,5.0,['Blackalicious'],Tsdffa3p4hoics5fmvw2yofg74y
555,Fantastic Man,['William Onyeabor'],World Psychedelic Classics 5: Who Is William Onyeabor?,9.0,['William Onyeabor'],Thde6e2ntaoneiyjsls43whxw7a
556,Back Then,['Gunnar Bjerk'],Back Then,1.0,['Gunnar Bjerk'],T47567kgsdkduv62luwkhzsc22u
557,Chase The Devil,['Max Romeo'],The Max Romeo Catalogue Chapter 10 Verse 145-160,6.0,['Max Romeo'],
558,Merry Go Round,['The Equatics'],Doin It!!!!,3.0,['The Equatics'],T27j642su3rzafdnxknmcxaini4
559,Return Of The Mack,['Mark Morrison'],Return Of The Mack,6.0,['Mark Morrison'],Tbcecxvh2kx3skpj4tow6oeyu3e
560,Return Of The Mack,['Mark Morrison'],Return Of The Mack,6.0,['Mark Morrison'],Tbcecxvh2kx3skpj4tow6oeyu3e
561,Chase,['Giorgio Moroder'],Midnight Express,1.0,['Giorgio Moroder'],Tqjabx2p7rknjbap5nnyzbetr4e
562,Bad Mother F*cker,"['Machine Gun Kelly', ' Kid Rock']",General Admission,5.0,"['Machine Gun Kelly', ' Kid Rock']",
563,Oz.,['Machine Gun Kelly'],General Admission,7.0,['Machine Gun Kelly'],Ttg3ya3yam3zj4nzka37plirz7m
564,Everyday,['Machine Gun Kelly'],General Admission,8.0,['Machine Gun Kelly'],Tyiy6fommjtw5rj6273ux4jeisa
565,Story Of The Stairs,['Machine Gun Kelly'],General Admission,10.0,['Machine Gun Kelly'],Ttks3nkihg5baphdtj6hynh5ewi
566,Merry Go Round,['Machine Gun Kelly'],General Admission,11.0,['Machine Gun Kelly'],Tfufxv2xdsyiqnjdrp2nwjlltmi
567,A Little More,"['Machine Gun Kelly', ' Victoria Monet']",General Admission,12.0,"['Machine Gun Kelly', ' Victoria Monet']",Tfkgdlzhovhbgyx7z5xxblnx56e
